dataset_version_id,cluster_name,skos,manual_mapped_cid,cell_ontology_id
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,0,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,1,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,3,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,4,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,9,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,11,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,14,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,15,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,16,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,18,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,19,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,20,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,17_21,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,AII,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,AII*,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,Astrocyte,exactMatch,CL:4033015,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,BB,relatedMatch,CL:4033019,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,CAI,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,CAII,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB1,exactMatch,CL:4033027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB2,exactMatch,CL:4033028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB3a,exactMatch,CL:4033029,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB3b,exactMatch,CL:4033030,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB4a,exactMatch,CL:4033095,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB4b,exactMatch,CL:4033096,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB5,exactMatch,CL:4033085,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,DB6,exactMatch,CL:4033032,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,FMB,exactMatch,CL:4033033,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,GB,exactMatch,CL:4033035,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,H1,exactMatch,CL:0004217,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,H2,exactMatch,CL:0004218,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,IMB,exactMatch,CL:4033034,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,ipRGC_1,relatedMatch,CL:0020014,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,ipRGC_2,relatedMatch,CL:0020014,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,MG,exactMatch,CL:0000636,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,MG_OFF,exactMatch,CL:4033047,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,MG_ON,exactMatch,CL:4033046,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,Microglia,exactMatch,CL:0000129,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,ML_Cone,relatedMatch,CL:0000573,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,nNOS,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,OFF-SAC,relatedMatch,CL:0004232,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,OFF-SAC*,relatedMatch,CL:0004232,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,OFFx,exactMatch,CL:4033036,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,ON_DSGC,relatedMatch,CL:0000740,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,ON-SAC,exactMatch,CL:0004232,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,PENK,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,PG_OFF_1,relatedMatch,CL:4033051,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,PG_OFF_2,relatedMatch,CL:4033051,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,PG_ON,exactMatch,CL:4033052,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RB,exactMatch,CL:0000751,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,Rod,exactMatch,CL:0000604,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RPE_CST3+,relatedMatch,CL:0002586,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RPE_INSYN2B+,relatedMatch,CL:0002586,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RPE_LGI1+,relatedMatch,CL:0002586,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RPE_TENM4+,relatedMatch,CL:0002586,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,RPE_TUBA1A+,relatedMatch,CL:0002586,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,S_Cone,exactMatch,CL:0003050,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,SEG,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,SEG*,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,VG3,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,VG3*,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,VIP,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC11,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC12,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC13,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC14,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC15,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC17,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC18,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC19,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC2,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC20,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC21,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC23,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC24,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC26,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC27,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC28,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC29,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC3,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC30,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC32,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC33,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC34,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC35,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC37,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC38,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC39,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC4,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC40,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC41,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC42,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC44,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC45,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC46,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC48,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC49,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC5,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC50,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC51,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC52,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC53,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC54,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC55,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC56,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC57,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC59,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC6,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC60,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC62,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC63,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC64,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC65,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC66,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC68,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC71,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC72,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC74,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC75,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC77,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC78,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC79,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC8,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC80,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC81,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC82,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC84,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC86,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC87,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC88,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC89,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC9,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC90,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC91,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC92,relatedMatch,CL:4030027,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC93,relatedMatch,CL:4030028,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HAC95,relatedMatch,CL:0000561,
25f1558d-c1f8-49f8-addc-b778d8cbd4aa,HRGC3,relatedMatch,CL:0000740,
